Marque;Modele;Technologie d'impression;Vitesse (noir);Capacite du bac;Poids;Resolution;Longueur;Largeur;Hauteur;Prix;;;
Brother;DCP-L3510CDW;Laser/LED;18;250;21.7;600;38.8;41;47.5;305;;;
HP;M479dw Color LaserJet Pro;Laser/LED;27;300;21.8;600;47.2;41.6;40;395;;;
HP;M28w LaserJet Pro;Laser/LED;18;150;5.4;600;26.3;36;19.7;149;;;
HP;M183fw LaserJet Pro;Laser/LED;16;150;16.3;600;38;42;34.12;334;;;
Canon;PIXMA G6050 MegaTank;Jet d'encre;13;350;8.1;1200;36.9;45.5;19.5;330;;;
HP;M283dw Color LaserJet Pro;Laser/LED;21;200;18.7;600;42.1;42;33.4;323;;;
Brother;MFC-L8690CDW;Laser/LED;31;300;27.9;600;52.6;43.5;53.9;459;;;
Brother;MFC-L3730CDN;Laser/LED;24;250;24.5;600;47.5;41;41.4;319;;;
Canon;MF744Cdw i-Sensys;Laser/LED;27;300;26.5;600;46.9;47.1;46;459;;;
HP;M479fdn Color LaserJet Pro;Laser/LED;27;300;23.4;600;47.2;41.6;40;459;;;
Epson;ET-3750 EcoTank;Jet d'encre;15;150;6.7;1200;51;41;31.5;384;;;
Brother;MFC-L2710DW;Laser/LED;30;300;11.8;600;58.2;52.5;43.8;184;;;
HP;OfficeJet Pro 8730;Jet d'encre;20;300;15.2;1200;53.01;49.95;33.91;287;;;
Epson;ET-3750 EcoTank Unlimited;Jet d'encre;15;150;6.7;1200;34.7;37.5;23.1;384;;;
Epson;ET-2750 EcoTank Unlimited;Jet d'encre;10;100;5.5;1440;34.7;37.5;18.7;315;;;
Brother;MFC-L2750DW;Laser/LED;34;300;14.7;600;41;39.85;31.85;329;;;
Brother;MFC-L8900CDW;Laser/LED;31;300;28.7;600;52.6;49.5;54.9;700;;;
HP;477dw PageWide Pro;Jet d'encre;40;550;22.15;1200;40.7;53;46.7;467;;;
HP;OfficeJet 250 Mobile All-inOne;Jet d'encre;10;50;2.96;1200;19.83;38.02;9.13;308;;;
HP;OfficeJet Pro 7730;Jet d'encre;22;500;18.5;1200;44.48;58.49;38.58;210;;;
Canon;MF645Cx i-Sensys;Laser/LED;21;150;22.6;1200;46;45.1;41.3;309;;;
Brother;MFC-L3770CDW;Laser/LED;24;280;24.5;600;50.9;41;41.4;415;;;
Epson;WF-4745TWF WorkForce Pro;Jet d'encre;24;500;12.1;1200;38.8;42.5;33;234;;;
Brother;MFC-L2730DW;Laser/LED;34;300;11.8;600;41;39.85;31.85;257;;;
Xerox;VersaLink;Laser/LED;20;620;69;1200;67.08;59;76.79;1990;;;
Xerox;6515V/DNI WorkCentre;Laser/LED;28;300;30.7;1200;50.6;42;50;426;;;
Lexmark;MC3326adwe;Laser/LED;24;250;19.4;600;39.41;41.12;34.44;283;;;
Lexmark;MC2535adwe;Laser/LED;33;250;27.1;1200;58.8;44.2;46.2;457;;;
Kyocera;ECOSYS M5521cdw;Laser/LED;21;300;26;1200;42.9;41.7;49.5;322;;;
OKI;MC883dn;Laser/LED;35;400;64;1200;60;56.3;70;1960;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
